name,type,start_time,duration,"ack","address","read","data"
"I2C","start",0.00734942,0.00000002,,,,
"I2C","address",0.00735228,0.00003014,true,0x3F,false,
"I2C","data",0.00739216,0.00003008,true,,,0x80
"I2C","data",0.00743198,0.00003012,true,,,0xB0
"I2C","stop",0.00747406,0.00000002,,,,
"I2C","start",0.00747726,0.00000002,,,,
"I2C","address",0.00748014,0.00003012,true,0x3F,false,
"I2C","data",0.00752002,0.00003008,true,,,0x80
"I2C","data",0.00755982,0.0000301,true,,,0x10
"I2C","stop",0.00760186,0.00000002,,,,
"I2C","start",0.00760512,0.00000002,,,,
"I2C","address",0.00760798,0.00003014,true,0x3F,false,
"I2C","data",0.00764786,0.00003008,true,,,0x80
"I2C","data",0.00768766,0.00003008,true,,,0x00
"I2C","stop",0.00772968,0.00000002,,,,
"I2C","start",0.0077332,0.00000002,,,,
"I2C","address",0.00773606,0.00003014,true,0x3F,false,
"I2C","data",0.00777594,0.0000301,true,,,0xC0
"I2C","data",0.00781576,0.00003008,true,,,0x00
"I2C","stop",0.00785778,0.00000002,,,,
"I2C","start",0.00786144,0.00000002,,,,
"I2C","address",0.00786426,0.00003012,true,0x3F,false,
"I2C","data",0.00790412,0.0000301,true,,,0xC0
"I2C","data",0.00794394,0.0000301,true,,,0x00
"I2C","stop",0.00798598,0.00000002,,,,
"I2C","start",0.00798962,0.00000002,,,,
"I2C","address",0.00799244,0.00003014,true,0x3F,false,
"I2C","data",0.00803232,0.00003008,true,,,0xC0
"I2C","data",0.00807214,0.00003008,true,,,0x00
"I2C","stop",0.00811416,0.00000002,,,,
"I2C","start",0.0081178,0.00000002,,,,
"I2C","address",0.00812062,0.00003014,true,0x3F,false,
"I2C","data",0.0081605,0.0000301,true,,,0xC0
"I2C","data",0.00820032,0.00003008,true,,,0x00
"I2C","stop",0.00824236,0.00000002,,,,
"I2C","start",0.008246,0.00000002,,,,
"I2C","address",0.00824882,0.00003012,true,0x3F,false,
"I2C","data",0.0082887,0.0000301,true,,,0xC0
"I2C","data",0.00832852,0.00003008,true,,,0x00
"I2C","stop",0.00837054,0.00000002,,,,
"I2C","start",0.00837418,0.00000002,,,,
"I2C","address",0.008377,0.00003014,true,0x3F,false,
"I2C","data",0.00841688,0.0000301,true,,,0xC0
"I2C","data",0.0084567,0.0000301,true,,,0x00
"I2C","stop",0.00849874,0.00000002,,,,
"I2C","start",0.00850238,0.00000002,,,,
"I2C","address",0.0085052,0.00003014,true,0x3F,false,
"I2C","data",0.00854508,0.0000301,true,,,0xC0
"I2C","data",0.0085849,0.00003008,true,,,0x00
"I2C","stop",0.00862692,0.00000002,,,,
"I2C","start",0.00863058,0.00000002,,,,
"I2C","address",0.0086334,0.00003012,true,0x3F,false,
"I2C","data",0.00867326,0.0000301,true,,,0xC0
"I2C","data",0.00871308,0.00003008,true,,,0x00
"I2C","stop",0.0087551,0.00000002,,,,
"I2C","start",0.00875874,0.00000002,,,,
