name,type,start_time,duration,"ack","address","read","data"
"I2C","start",0.00750372,0.00000002,,,,
"I2C","address",0.00750658,0.00003012,true,0x3F,false,
"I2C","data",0.00754644,0.00003006,true,,,0x80
"I2C","data",0.00758624,0.0000301,true,,,0xB0
"I2C","stop",0.00762826,0.00000002,,,,
"I2C","start",0.00763148,0.00000002,,,,
"I2C","address",0.00763434,0.00003012,true,0x3F,false,
"I2C","data",0.00767418,0.00003006,true,,,0x80
"I2C","data",0.00771396,0.00003008,true,,,0x10
"I2C","stop",0.00775598,0.00000002,,,,
"I2C","start",0.00775922,0.00000002,,,,
"I2C","address",0.0077621,0.0000301,true,0x3F,false,
"I2C","data",0.00780192,0.00003006,true,,,0x80
"I2C","data",0.0078417,0.00003006,true,,,0x00
"I2C","stop",0.00789134,0.00000002,,,,
"I2C","start",0.00789482,0.00000002,,,,
"I2C","address",0.00789768,0.0000301,true,0x3F,false,
"I2C","data",0.00793752,0.00003006,true,,,0xC0
"I2C","data",0.0079773,0.00003006,true,,,0x00
"I2C","stop",0.0080193,0.00000002,,,,
"I2C","start",0.00802294,0.00000002,,,,
"I2C","address",0.00802576,0.0000301,true,0x3F,false,
"I2C","data",0.0080656,0.00003008,true,,,0xC0
"I2C","data",0.0081054,0.00003006,true,,,0x00
"I2C","stop",0.0081474,0.00000002,,,,
"I2C","start",0.00815104,0.00000002,,,,
"I2C","address",0.00815386,0.0000301,true,0x3F,false,
"I2C","data",0.0081937,0.00003008,true,,,0xC0
"I2C","data",0.0082335,0.00003006,true,,,0x00
"I2C","stop",0.00827548,0.00000002,,,,
"I2C","start",0.00827914,0.00000002,,,,
"I2C","address",0.00828196,0.0000301,true,0x3F,false,
"I2C","data",0.0083218,0.00003008,true,,,0xC0
"I2C","data",0.0083616,0.00003006,true,,,0x00
"I2C","stop",0.0084036,0.00000002,,,,
"I2C","start",0.00840726,0.00000002,,,,
"I2C","address",0.00841008,0.0000301,true,0x3F,false,
"I2C","data",0.00844992,0.00003008,true,,,0xC0
"I2C","data",0.00848972,0.00003006,true,,,0x00
"I2C","stop",0.00853172,0.00000002,,,,
"I2C","start",0.00853536,0.00000002,,,,
"I2C","address",0.00853818,0.00003012,true,0x3F,false,
"I2C","data",0.00857804,0.00003008,true,,,0xC0
"I2C","data",0.00861784,0.00003006,true,,,0x00
"I2C","stop",0.00865984,0.00000002,,,,
"I2C","start",0.00866348,0.00000002,,,,
"I2C","address",0.0086663,0.0000301,true,0x3F,false,
"I2C","data",0.00870614,0.00003008,true,,,0xC0
"I2C","data",0.00874594,0.00003006,true,,,0x00
"I2C","stop",0.00878794,0.00000002,,,,
"I2C","start",0.00879158,0.00000002,,,,
"I2C","address",0.0087944,0.0000301,true,0x3F,false,
"I2C","data",0.00883424,0.00003008,true,,,0xC0
"I2C","data",0.00887404,0.00003008,true,,,0x0A
"I2C","stop",0.00891606,0.00000002,,,,
"I2C","start",0.0089197,0.00000002,,,,
"I2C","address",0.00892252,0.0000301,true,0x3F,false,
"I2C","data",0.00896234,0.00003008,true,,,0xC0
"I2C","data",0.00900214,0.00003006,true,,,0x00
"I2C","stop",0.00904412,0.00000002,,,,
"I2C","start",0.00904776,0.00000002,,,,
"I2C","address",0.00905058,0.0000301,true,0x3F,false,
"I2C","data",0.00909042,0.00003008,true,,,0xC0
"I2C","data",0.00913022,0.00003006,true,,,0x00
"I2C","stop",0.0091722,0.00000002,,,,
"I2C","start",0.00917584,0.00000002,,,,
"I2C","address",0.00917866,0.0000301,true,0x3F,false,
"I2C","data",0.0092185,0.00003006,true,,,0xC0
"I2C","data",0.00925828,0.00003006,true,,,0x00
"I2C","stop",0.00930026,0.00000002,,,,
"I2C","start",0.00930392,0.00000002,,,,
"I2C","address",0.00930672,0.0000301,true,0x3F,false,
"I2C","data",0.00934656,0.00003008,true,,,0xC0
"I2C","data",0.00938636,0.00003006,true,,,0x00
"I2C","stop",0.00942836,0.00000002,,,,
"I2C","start",0.009432,0.00000002,,,,
"I2C","address",0.00943482,0.0000301,true,0x3F,false,
"I2C","data",0.00947464,0.00003008,true,,,0xC0
"I2C","data",0.00951444,0.00003006,true,,,0x00
"I2C","stop",0.00955642,0.00000002,,,,
"I2C","start",0.00956008,0.00000002,,,,
"I2C","address",0.0095629,0.0000301,true,0x3F,false,
"I2C","data",0.00960274,0.00003006,true,,,0xC0
"I2C","data",0.00964252,0.00003006,true,,,0x00
"I2C","stop",0.00968452,0.00000002,,,,
"I2C","start",0.00968816,0.00000002,,,,
"I2C","address",0.00969098,0.0000301,true,0x3F,false,
"I2C","data",0.00973082,0.00003008,true,,,0xC0
"I2C","data",0.00977062,0.0000301,true,,,0x1C
"I2C","stop",0.00981266,0.00000002,,,,
