name,type,start_time,duration,"ack","address","read","data"
"I2C","start",0.00011616,0.00000002,,,,
"I2C","address",0.00011898,0.00003012,true,0x3F,false,
"I2C","data",0.00015884,0.0000301,true,,,0xC0
"I2C","data",0.00019868,0.00003006,true,,,0x00
"I2C","stop",0.00024068,0.00000002,,,,
"I2C","start",0.00024432,0.00000002,,,,
"I2C","address",0.00024714,0.00003012,true,0x3F,false,
"I2C","data",0.000287,0.0000301,true,,,0xC0
"I2C","data",0.00032684,0.00003006,true,,,0x00
"I2C","stop",0.00036884,0.00000002,,,,
"I2C","start",0.0003725,0.00000002,,,,
"I2C","address",0.00037532,0.00003012,true,0x3F,false,
"I2C","data",0.00041518,0.00003008,true,,,0xC0
"I2C","data",0.00045498,0.00003008,true,,,0x00
"I2C","stop",0.000497,0.00000002,,,,
"I2C","start",0.00050066,0.00000002,,,,
"I2C","address",0.00050348,0.00003012,true,0x3F,false,
"I2C","data",0.00054334,0.0000301,true,,,0xC0
"I2C","data",0.00058316,0.00003008,true,,,0x00
"I2C","stop",0.00062518,0.00000002,,,,
"I2C","start",0.00062882,0.00000002,,,,
"I2C","address",0.00063164,0.00003012,true,0x3F,false,
"I2C","data",0.0006715,0.0000301,true,,,0xC0
"I2C","data",0.00071134,0.00003008,true,,,0x04
"I2C","stop",0.00075336,0.00000002,,,,
"I2C","start",0.00075702,0.00000002,,,,
"I2C","address",0.00075984,0.00003012,true,0x3F,false,
"I2C","data",0.0007997,0.0000301,true,,,0xC0
"I2C","data",0.00083952,0.00003014,true,,,0x1A
"I2C","stop",0.0008816,0.00000002,,,,
"I2C","start",0.00088524,0.00000002,,,,
"I2C","address",0.00088806,0.00003012,true,0x3F,false,
"I2C","data",0.00092792,0.0000301,true,,,0xC0
"I2C","data",0.00096774,0.00003014,true,,,0x1C
"I2C","stop",0.00100982,0.00000002,,,,
"I2C","start",0.00101346,0.00000002,,,,
"I2C","address",0.00101628,0.00003012,true,0x3F,false,
"I2C","data",0.00105614,0.0000301,true,,,0xC0
"I2C","data",0.00109596,0.00003008,true,,,0x00
"I2C","stop",0.00113798,0.00000002,,,,
"I2C","start",0.00114164,0.00000002,,,,
"I2C","address",0.00114446,0.00003012,true,0x3F,false,
"I2C","data",0.00118432,0.0000301,true,,,0xC0
"I2C","data",0.00122414,0.00003008,true,,,0x00
"I2C","stop",0.00126616,0.00000002,,,,
"I2C","start",0.0012698,0.00000002,,,,
"I2C","address",0.00127262,0.00003772,true,0x3F,false,
"I2C","data",0.00132008,0.0000301,true,,,0xC0
"I2C","data",0.0013599,0.00003008,true,,,0x00
"I2C","stop",0.00140192,0.00000002,,,,
"I2C","start",0.00140556,0.00000002,,,,
"I2C","address",0.00140838,0.00003012,true,0x3F,false,
"I2C","data",0.00144824,0.00003008,true,,,0xC0
"I2C","data",0.00148804,0.00003008,true,,,0x00
"I2C","stop",0.00153006,0.00000002,,,,
"I2C","start",0.0015337,0.00000002,,,,
"I2C","address",0.00153652,0.00003012,true,0x3F,false,
"I2C","data",0.00157638,0.0000301,true,,,0xC0
"I2C","data",0.0016162,0.00003008,true,,,0x00
"I2C","stop",0.00165822,0.00000002,,,,
"I2C","start",0.00166186,0.00000002,,,,
"I2C","address",0.00166468,0.00003014,true,0x3F,false,
"I2C","data",0.00170456,0.00003008,true,,,0xC0
"I2C","data",0.00174436,0.00003008,true,,,0x00
"I2C","stop",0.00178638,0.00000002,,,,
"I2C","start",0.00179002,0.00000002,,,,
"I2C","address",0.00179284,0.00003012,true,0x3F,false,
"I2C","data",0.0018327,0.0000301,true,,,0xC0
"I2C","data",0.00187252,0.00003008,true,,,0x00
"I2C","stop",0.00191454,0.00000002,,,,
"I2C","start",0.00191818,0.00000002,,,,
"I2C","address",0.001921,0.00003012,true,0x3F,false,
"I2C","data",0.00196086,0.00003008,true,,,0xC0
