name,type,start_time,duration,"ack","address","read","data"
"I2C","start",0.00011722,0.00000002,,,,
"I2C","address",0.00012004,0.00003012,true,0x3F,false,
"I2C","data",0.0001599,0.0000301,true,,,0xC0
"I2C","data",0.00019972,0.00003008,true,,,0x00
"I2C","stop",0.00024174,0.00000002,,,,
"I2C","start",0.0002454,0.00000002,,,,
"I2C","address",0.00024822,0.00003012,true,0x3F,false,
"I2C","data",0.00028808,0.0000301,true,,,0xC0
"I2C","data",0.0003279,0.00003008,true,,,0x00
"I2C","stop",0.00036992,0.00000002,,,,
"I2C","start",0.00037358,0.00000002,,,,
"I2C","address",0.00037638,0.00003014,true,0x3F,false,
"I2C","data",0.00041626,0.0000301,true,,,0xC0
"I2C","data",0.00045608,0.00003008,true,,,0x00
"I2C","stop",0.0004981,0.00000002,,,,
"I2C","start",0.00050176,0.00000002,,,,
"I2C","address",0.00050458,0.00003012,true,0x3F,false,
"I2C","data",0.00054444,0.00003012,true,,,0xC0
"I2C","data",0.00058428,0.00003008,true,,,0x00
"I2C","stop",0.0006263,0.00000002,,,,
"I2C","start",0.00062996,0.00000002,,,,
"I2C","address",0.00063278,0.00003012,true,0x3F,false,
"I2C","data",0.00067266,0.0000301,true,,,0xC0
"I2C","data",0.00071248,0.00003008,true,,,0x00
"I2C","stop",0.00075452,0.00000002,,,,
"I2C","start",0.00075816,0.00000002,,,,
"I2C","address",0.00076098,0.00003012,true,0x3F,false,
"I2C","data",0.00080084,0.0000301,true,,,0xC0
"I2C","data",0.00084066,0.00003008,true,,,0x00
"I2C","stop",0.0008827,0.00000002,,,,
"I2C","start",0.00088634,0.00000002,,,,
"I2C","address",0.00088916,0.00003012,true,0x3F,false,
"I2C","data",0.00092904,0.0000301,true,,,0xC0
"I2C","data",0.00096886,0.0000301,true,,,0x00
"I2C","stop",0.0010109,0.00000002,,,,
"I2C","start",0.00101456,0.00000002,,,,
"I2C","address",0.00101738,0.00003014,true,0x3F,false,
"I2C","data",0.00105726,0.0000301,true,,,0xC0
"I2C","data",0.0010971,0.00003008,true,,,0x00
"I2C","stop",0.00113914,0.00000002,,,,
"I2C","start",0.00114278,0.00000002,,,,
"I2C","address",0.0011456,0.00003014,true,0x3F,false,
"I2C","data",0.00118548,0.0000301,true,,,0xC0
"I2C","data",0.00122532,0.00003008,true,,,0x00
"I2C","stop",0.00126734,0.00000002,,,,
"I2C","start",0.00127098,0.00000002,,,,
"I2C","address",0.0012738,0.00003014,true,0x3F,false,
"I2C","data",0.00131368,0.00003012,true,,,0xC0
"I2C","data",0.00135352,0.00003008,true,,,0x00
"I2C","stop",0.00139554,0.00000002,,,,
"I2C","start",0.00139918,0.00000002,,,,
"I2C","address",0.001402,0.00003012,true,0x3F,false,
"I2C","data",0.00144186,0.0000301,true,,,0xC0
"I2C","data",0.00148168,0.00003008,true,,,0x00
