name,type,start_time,duration,"ack","address","read","data"
"I2C","address",0.01022556,0.00003012,true,0x3F,false,
"I2C","data",0.01026542,0.0000301,true,,,0xC0
"I2C","data",0.01030526,0.00003008,true,,,0x00
"I2C","stop",0.01034728,0.00000002,,,,
"I2C","start",0.01035092,0.00000002,,,,
"I2C","address",0.01035374,0.00003012,true,0x3F,false,
"I2C","data",0.0103936,0.0000301,true,,,0xC0
"I2C","data",0.01043344,0.00003008,true,,,0x00
"I2C","stop",0.01047546,0.00000002,,,,
"I2C","start",0.01047912,0.00000002,,,,
"I2C","address",0.01048194,0.00003012,true,0x3F,false,
"I2C","data",0.0105218,0.0000301,true,,,0xC0
"I2C","data",0.01056164,0.00003008,true,,,0x00
"I2C","stop",0.01060366,0.00000002,,,,
"I2C","start",0.01060732,0.00000002,,,,
"I2C","address",0.01061014,0.00003012,true,0x3F,false,
"I2C","data",0.01065,0.00003008,true,,,0xC0
"I2C","data",0.01068982,0.00003014,true,,,0x1E
"I2C","stop",0.0107319,0.00000002,,,,
"I2C","start",0.01073554,0.00000002,,,,
"I2C","address",0.01073836,0.00003014,true,0x3F,false,
"I2C","data",0.01077824,0.00003008,true,,,0xC0
"I2C","data",0.01081806,0.0000301,true,,,0x08
"I2C","stop",0.0108601,0.00000002,,,,
"I2C","start",0.01086374,0.00000002,,,,
"I2C","address",0.01086656,0.00003012,true,0x3F,false,
"I2C","data",0.01090644,0.0000301,true,,,0xC0
"I2C","data",0.01094626,0.00003008,true,,,0x00
"I2C","stop",0.01098828,0.00000002,,,,
"I2C","start",0.01099192,0.00000002,,,,
"I2C","address",0.01099474,0.00003014,true,0x3F,false,
"I2C","data",0.01103462,0.0000301,true,,,0xC0
"I2C","data",0.01107444,0.00003008,true,,,0x00
"I2C","stop",0.01111646,0.00000002,,,,
"I2C","start",0.01112012,0.00000002,,,,
"I2C","address",0.01112294,0.00003012,true,0x3F,false,
"I2C","data",0.0111628,0.0000301,true,,,0xC0
"I2C","data",0.01120262,0.00003008,true,,,0x00
"I2C","stop",0.01124464,0.00000002,,,,
"I2C","start",0.0112483,0.00000002,,,,
"I2C","address",0.01125112,0.00003012,true,0x3F,false,
"I2C","data",0.01129098,0.00003008,true,,,0xC0
"I2C","data",0.0113308,0.00003008,true,,,0x00
"I2C","stop",0.01137282,0.00000002,,,,
"I2C","start",0.01137646,0.00000002,,,,
"I2C","address",0.01137928,0.00003014,true,0x3F,false,
"I2C","data",0.01141916,0.0000301,true,,,0xC0
"I2C","data",0.01145898,0.0000301,true,,,0x00
"I2C","stop",0.01150102,0.00000002,,,,
"I2C","start",0.01150466,0.00000002,,,,
"I2C","address",0.01150748,0.00003014,true,0x3F,false,
"I2C","data",0.01154736,0.0000301,true,,,0xC0
"I2C","data",0.01158718,0.00003008,true,,,0x00
"I2C","stop",0.0116292,0.00000002,,,,
"I2C","start",0.01163286,0.00000002,,,,
"I2C","address",0.01163568,0.00003012,true,0x3F,false,
"I2C","data",0.01167556,0.0000301,true,,,0xC0
"I2C","data",0.01171538,0.0000301,true,,,0x00
"I2C","stop",0.01175742,0.00000002,,,,
"I2C","start",0.01176106,0.00000002,,,,
"I2C","address",0.01176388,0.00003012,true,0x3F,false,
"I2C","data",0.01180374,0.0000301,true,,,0xC0
"I2C","data",0.01184358,0.00003008,true,,,0x00
"I2C","stop",0.01188562,0.00000002,,,,
"I2C","start",0.01188926,0.00000002,,,,
"I2C","address",0.01189208,0.00003012,true,0x3F,false,
"I2C","data",0.01193196,0.00003008,true,,,0xC0
"I2C","data",0.01197178,0.00003008,true,,,0x00
"I2C","stop",0.0120138,0.00000002,,,,
"I2C","start",0.01201744,0.00000002,,,,
"I2C","address",0.01202026,0.00003012,true,0x3F,false,
"I2C","data",0.01206012,0.0000301,true,,,0xC0
"I2C","data",0.01209996,0.00003776,true,,,0x04
"I2C","stop",0.01214966,0.00000002,,,,
"I2C","start",0.0121533,0.00000002,,,,
"I2C","address",0.01215612,0.00003014,true,0x3F,false,
"I2C","data",0.012196,0.0000301,true,,,0xC0
"I2C","data",0.01223582,0.00003014,true,,,0x1A
"I2C","stop",0.0122779,0.00000002,,,,
"I2C","start",0.01228154,0.00000002,,,,
"I2C","address",0.01228436,0.00003014,true,0x3F,false,
"I2C","data",0.01232424,0.0000301,true,,,0xC0
"I2C","data",0.01236408,0.00003012,true,,,0x1C
"I2C","stop",0.01240614,0.00000002,,,,
"I2C","start",0.0124098,0.00000002,,,,
"I2C","address",0.01241262,0.00003014,true,0x3F,false,
"I2C","data",0.0124525,0.0000301,true,,,0xC0
"I2C","data",0.01249232,0.00003008,true,,,0x00
"I2C","stop",0.01253436,0.00000002,,,,
"I2C","start",0.012538,0.00000002,,,,
"I2C","address",0.01254082,0.00003012,true,0x3F,false,
"I2C","data",0.01258068,0.0000301,true,,,0xC0
"I2C","data",0.01262052,0.00003008,true,,,0x00
"I2C","stop",0.01266254,0.00000002,,,,
"I2C","start",0.0126662,0.00000002,,,,
"I2C","address",0.01266902,0.00003012,true,0x3F,false,
"I2C","data",0.0127089,0.00003008,true,,,0xC0
"I2C","data",0.01274872,0.00003008,true,,,0x00
"I2C","stop",0.01279074,0.00000002,,,,
"I2C","start",0.0127944,0.00000002,,,,
"I2C","address",0.01279722,0.00003012,true,0x3F,false,
"I2C","data",0.01283708,0.00003008,true,,,0xC0
"I2C","data",0.0128769,0.00003008,true,,,0x00
"I2C","stop",0.01291892,0.00000002,,,,
"I2C","start",0.01292258,0.00000002,,,,
"I2C","address",0.0129254,0.00003012,true,0x3F,false,
"I2C","data",0.01296526,0.0000301,true,,,0xC0
"I2C","data",0.01300508,0.00003008,true,,,0x00
"I2C","stop",0.0130471,0.00000002,,,,
"I2C","start",0.01305074,0.00000002,,,,
"I2C","address",0.01305356,0.00003012,true,0x3F,false,
"I2C","data",0.01309342,0.0000301,true,,,0xC0
"I2C","data",0.01313324,0.00003008,true,,,0x00
"I2C","stop",0.01317526,0.00000002,,,,
"I2C","start",0.0131789,0.00000002,,,,
"I2C","address",0.01318172,0.00003014,true,0x3F,false,
"I2C","data",0.0132216,0.0000301,true,,,0xC0
"I2C","data",0.01326142,0.00003008,true,,,0x00
"I2C","stop",0.01330344,0.00000002,,,,
"I2C","start",0.0133071,0.00000002,,,,
"I2C","address",0.01330992,0.00003012,true,0x3F,false,
"I2C","data",0.01334978,0.00003008,true,,,0xC0
"I2C","data",0.01338958,0.00003008,true,,,0x00
"I2C","stop",0.0134316,0.00000002,,,,
"I2C","start",0.01343524,0.00000002,,,,
"I2C","address",0.01343806,0.00003012,true,0x3F,false,
"I2C","data",0.01347792,0.0000301,true,,,0xC0
"I2C","data",0.01351774,0.00003008,true,,,0x00
"I2C","stop",0.01355976,0.00000002,,,,
"I2C","start",0.0135634,0.00000002,,,,
"I2C","address",0.01356622,0.00003012,true,0x3F,false,
"I2C","data",0.01360608,0.0000301,true,,,0xC0
"I2C","data",0.01364592,0.00003008,true,,,0x00
"I2C","stop",0.01368794,0.00000002,,,,
"I2C","start",0.01369158,0.00000002,,,,
"I2C","address",0.0136944,0.00003014,true,0x3F,false,
"I2C","data",0.01373428,0.00003008,true,,,0xC0
"I2C","data",0.01377408,0.00003008,true,,,0x00
"I2C","stop",0.0138161,0.00000002,,,,
"I2C","start",0.01381976,0.00000002,,,,
"I2C","address",0.01382258,0.00003012,true,0x3F,false,
"I2C","data",0.01386244,0.00003008,true,,,0xC0
"I2C","data",0.01390226,0.0000301,true,,,0x06
"I2C","stop",0.0139443,0.00000002,,,,
"I2C","start",0.01394794,0.00000002,,,,
"I2C","address",0.01395078,0.00003012,true,0x3F,false,
"I2C","data",0.01399066,0.00003008,true,,,0xC0
"I2C","data",0.01403048,0.00003014,true,,,0x1E
"I2C","stop",0.01407256,0.00000002,,,,
"I2C","start",0.01407622,0.00000002,,,,
"I2C","address",0.01407904,0.00003012,true,0x3F,false,
"I2C","data",0.01411892,0.00003008,true,,,0xC0
"I2C","data",0.01415874,0.00003014,true,,,0x1E
"I2C","stop",0.01420082,0.00000002,,,,
"I2C","start",0.01420448,0.00000002,,,,
"I2C","address",0.0142073,0.00003012,true,0x3F,false,
"I2C","data",0.01424716,0.00003012,true,,,0xC0
"I2C","data",0.014287,0.00003012,true,,,0x14
"I2C","stop",0.01432906,0.00000002,,,,
"I2C","start",0.0143327,0.00000002,,,,
"I2C","address",0.01433552,0.00003014,true,0x3F,false,
"I2C","data",0.0143754,0.00003008,true,,,0xC0
"I2C","data",0.01441522,0.00003012,true,,,0x06
"I2C","stop",0.01445728,0.00000002,,,,
"I2C","start",0.01446092,0.00000002,,,,
"I2C","address",0.01446374,0.00003014,true,0x3F,false,
"I2C","data",0.01450362,0.0000301,true,,,0xC0
"I2C","data",0.01454346,0.00003012,true,,,0x14
"I2C","stop",0.01458552,0.00000002,,,,
"I2C","start",0.01458916,0.00000002,,,,
"I2C","address",0.01459198,0.00003014,true,0x3F,false,
"I2C","data",0.01463186,0.0000301,true,,,0xC0
"I2C","data",0.01467168,0.00003012,true,,,0x06
"I2C","stop",0.01471374,0.00000002,,,,
"I2C","start",0.01471738,0.00000002,,,,
"I2C","address",0.0147202,0.00003014,true,0x3F,false,
"I2C","data",0.01476008,0.00003008,true,,,0xC0
"I2C","data",0.0147999,0.00003012,true,,,0x0A
"I2C","stop",0.01484196,0.00000002,,,,
"I2C","start",0.01484562,0.00000002,,,,
"I2C","address",0.01484844,0.00003012,true,0x3F,false,
"I2C","data",0.0148883,0.0000301,true,,,0xC0
"I2C","data",0.01492814,0.00003008,true,,,0x00
"I2C","stop",0.01497016,0.00000002,,,,
"I2C","start",0.0149738,0.00000002,,,,
"I2C","address",0.01497662,0.00003014,true,0x3F,false,
"I2C","data",0.0150165,0.0000301,true,,,0xC0
"I2C","data",0.01505632,0.00003008,true,,,0x00
"I2C","stop",0.01509836,0.00000002,,,,
"I2C","start",0.015102,0.00000002,,,,
"I2C","address",0.01510482,0.00003012,true,0x3F,false,
"I2C","data",0.0151447,0.0000301,true,,,0xC0
"I2C","data",0.01518452,0.00003008,true,,,0x00
"I2C","stop",0.01522654,0.00000002,,,,
"I2C","start",0.0152302,0.00000002,,,,
"I2C","address",0.01523302,0.00003012,true,0x3F,false,
"I2C","data",0.01527288,0.00003008,true,,,0xC0
"I2C","data",0.0153127,0.00003008,true,,,0x00
"I2C","stop",0.01535472,0.00000002,,,,
"I2C","start",0.01535836,0.00000002,,,,
"I2C","address",0.01536118,0.00003014,true,0x3F,false,
